"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
9426284;"AY";"AY00006792";"6792";;;"Pärnu maakond, Tori vald, Randivälja küla";547187,74;6479737,19;"K";13.11.2017;
9426290;"AY";"AY03660898";"7607";;;"Pärnu maakond, Tori vald, Sindi linn";538120,95;6473722,2;"K";13.11.2017;
9426291;"AY";"AY00007776";"7776";;;"Pärnu maakond, Tori vald, Suigu küla";541501,01;6487977,25;"K";13.11.2017;
9426286;"AY";"AY00007237";"7237";;;"Pärnu maakond, Tori vald, Räägu küla";534128,47;6482056,22;"K";13.11.2017;
9426292;"AY";"AY00007996";"7996";;;"Pärnu maakond, Tori vald, Taali küla";544944,0;6478802,51;"K";13.11.2017;
9488857;"AY";"AY00009575";"9575";;;"Järva maakond, Järva vald, Võrevere küla";606586,71;6515764,56;"K";17.1.2018;
9426287;"AY";"AY00007265";"7265";;;"Pärnu maakond, Tori vald, Rütavere küla";540928,12;6479708,01;"K";13.11.2017;
9426288;"AY";"AY00007455";"7455";;;"Pärnu maakond, Tori vald, Sauga alevik";529329,34;6476547,82;"K";13.11.2017;
9426289;"AY";"AY00007529";"7529";;;"Pärnu maakond, Tori vald, Selja küla";546510,02;6486207,33;"K";13.11.2017;
9426294;"AY";"AY00008120";"8120";;;"Pärnu maakond, Tori vald, Tammiste küla";534386,41;6471213,16;"K";13.11.2017;
9426296;"AY";"AY00008326";"8326";;;"Pärnu maakond, Tori vald, Tori alevik";547789,7;6482572,57;"K";13.11.2017;
9426276;"AY";"AY00005292";"5292";;;"Pärnu maakond, Tori vald, Rätsepa küla";555054,77;6483498,78;"K";13.11.2017;
9877548;"AY";"AY00006296";"6296";;;"Valga maakond, Otepää vald, Plika küla";629401,58;6437030,68;"K";10.9.2019;
9908327;"AY";"AY00003404";"3404";;;"Ida-Viru maakond, Lüganuse vald, Koolma küla";666691,04;6568592,57;"K";18.10.2019;
9863165;"AY";"AY00007401";"7401";;;"Lääne-Viru maakond, Vinni vald, Salutaguse küla";646906,27;6546703,5;"K";22.8.2019;
9863166;"AY";"AY00007748";"7748";;;"Lääne-Viru maakond, Vinni vald, Sootaguse küla";643616,98;6546132,32;"K";22.8.2019;
9863027;"AY";"AY00008822";"8822";;;"Lääne-Viru maakond, Rakvere vald, Vaeküla";642945,3;6580178,36;"K";22.8.2019;
9877868;"AY";"AY00005859";"5859";;;"Viljandi maakond, Viljandi vald, Pahuvere küla";601448,04;6449843,78;"K";10.9.2019;
9908410;"AY";"AY00008572";"8572";;;"Harju maakond, Saku vald, Tänassilma küla";536996,36;6577708,69;"K";18.10.2019;
9909240;"AY";"AY00002100";"2100";;;"Harju maakond, Jõelähtme vald, Iru küla";552194,43;6590492,79;"K";21.10.2019;
9884099;"AY";"AY00009524";"9524";;;"Pärnu maakond, Põhja-Pärnumaa vald, Võidula küla";564815,09;6507386,57;"K";17.9.2019;
9909458;"AY";"AY00006360";"6360";;;"Järva maakond, Järva vald, Preedi küla";623172,25;6534627,39;"K";21.10.2019;
